trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1367,False,"{'a': 0.5, 'e': 0.064958933568795049}",20,10,7.228149655636962,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1368,False,"{'a': 0.5, 'e': 0.064829145532955962}",25,13,14.493722297034452,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1369,False,"{'a': 0.5, 'e': 0.064699616813785471}",20,3,12.945103839109649,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1370,False,"{'a': 0.5, 'e': 0.06457034689316847}",25,8,11.248179855934985,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
1371,False,"{'a': 0.5, 'e': 0.064441335254025178}",25,5,26.452856908727707,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
1372,False,"{'a': 0.5, 'e': 0.064312581380308778}",25,17,15.521906867343937,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1373,False,"{'a': 0.5, 'e': 0.064184084757003684}",30,13,30.859844727775776,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1374,False,"{'a': 0.5, 'e': 0.064055844870123169}",25,17,14.34390481911684,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1375,False,"{'a': 0.5, 'e': 0.06392786120670757}",25,2,29.857505768183582,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
1376,False,"{'a': 0.5, 'e': 0.063800133254822006}",20,1,26.84344010199728,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1377,False,"{'a': 0.5, 'e': 0.063672660503554565}",35,17,-2.816495912055757,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
1378,False,"{'a': 0.5, 'e': 0.063545442443013994}",25,15,8.27283049907279,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1379,False,"{'a': 0.5, 'e': 0.06341847856432796}",20,4,19.878638716200527,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
1380,False,"{'a': 0.5, 'e': 0.063291768359640704}",25,2,33.76787627787964,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1381,False,"{'a': 0.5, 'e': 0.063165311322111312}",20,12,17.291387900306763,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1382,False,"{'a': 0.5, 'e': 0.063039106945911402}",25,18,13.54742882823017,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1383,False,"{'a': 0.5, 'e': 0.062913154726223344}",25,12,27.87722251659315,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1384,False,"{'a': 0.5, 'e': 0.06278745415923806}",35,22,14.718260174662186,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1385,False,"{'a': 0.5, 'e': 0.062662004742153152}",30,18,20.24531152603543,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1386,False,"{'a': 0.5, 'e': 0.062536805973170739}",30,12,-4.966743148148116,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
1387,False,"{'a': 0.5, 'e': 0.062411857351495618}",25,11,24.386857383212277,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1388,False,"{'a': 0.5, 'e': 0.062287158377333098}",20,16,7.619796409743534,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1389,False,"{'a': 0.5, 'e': 0.062162708551887165}",30,4,32.193208788670255,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
1390,False,"{'a': 0.5, 'e': 0.06203850737735829}",30,17,16.493690712890185,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1391,False,"{'a': 0.5, 'e': 0.061914554356941674}",20,12,16.462607537055373,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1392,False,"{'a': 0.5, 'e': 0.061790848994825016}",25,4,19.667377859929598,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
1393,False,"{'a': 0.5, 'e': 0.061667390796186744}",25,14,22.339933264809634,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1394,False,"{'a': 0.5, 'e': 0.061544179267193862}",20,3,24.928454148155282,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1395,False,"{'a': 0.5, 'e': 0.061421213915000127}",30,23,13.896475890935424,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
